"states" "lineages" "ess_time" "method"
"120" 2 300 734.661261063129 "mtt"
"121" 2 300 411.819145901908 "mtt"
"122" 2 300 900.752032487953 "mtt"
"123" 2 300 476.564698591079 "mtt"
"124" 2 300 554.686541877027 "mtt"
"125" 2 300 400.203961198813 "mtt"
"126" 2 300 1578.99146334326 "mtt"
"127" 2 300 914.879247317877 "mtt"
"128" 2 300 599.099956442489 "mtt"
"129" 2 300 630.492458769357 "mtt"
"130" 2 300 699.500358918426 "mtt"
"131" 2 300 713.623173759763 "mtt"
"132" 2 300 1179.82462724674 "mtt"
"133" 2 300 516.153814346276 "mtt"
"134" 2 300 1809.07417301908 "mtt"
"135" 2 300 502.051446695402 "mtt"
"136" 2 300 925.850698301502 "mtt"
"137" 2 300 759.062305625844 "mtt"
"138" 2 300 1998.18098396394 "mtt"
"139" 2 300 1840.92933963703 "mtt"
"140" 2 300 2148.71799478733 "mtt"
"141" 2 300 354.533046528492 "mtt"
"142" 2 300 1060.40698381854 "mtt"
"143" 2 300 527.673391340473 "mtt"
"144" 2 300 847.743628259742 "mtt"
"145" 2 300 988.413098767099 "mtt"
"146" 2 300 831.453717978221 "mtt"
"147" 2 300 928.231984662532 "mtt"
"148" 2 300 436.249595637008 "mtt"
"149" 2 300 941.681677860457 "mtt"
"150" 2 300 413.090254787005 "mtt"
"151" 2 300 1541.51936045479 "mtt"
"152" 2 300 1041.7163248282 "mtt"
"153" 2 300 747.533961884705 "mtt"
"154" 2 300 1199.9197340316 "mtt"
"155" 2 300 543.270639442798 "mtt"
"156" 2 300 1786.5295996447 "mtt"
"157" 2 300 144.39223447672 "mtt"
"158" 2 300 1227.82387601067 "mtt"
"159" 2 300 1299.28770350382 "mtt"
"160" 2 300 308.506345624443 "mtt"
"161" 2 300 782.624833729829 "mtt"
"162" 2 300 1032.55852545541 "mtt"
"163" 2 300 1599.98622321827 "mtt"
"164" 2 300 1005.37607616681 "mtt"
"165" 2 300 887.966590394744 "mtt"
"166" 2 300 177.464562837843 "mtt"
"167" 2 300 835.412307463659 "mtt"
"168" 2 300 2071.69948191898 "mtt"
"169" 2 300 1492.54716633052 "mtt"
"170" 2 300 1151.21467088561 "mtt"
"171" 2 300 1277.18667800746 "mtt"
"172" 2 300 804.441732983972 "mtt"
"173" 2 300 386.60109747318 "mtt"
"174" 2 300 1413.48694171619 "mtt"
"175" 2 300 1900.53169246735 "mtt"
"176" 2 300 689.946706918232 "mtt"
"177" 2 300 624.667044253418 "mtt"
"178" 2 300 822.878080204853 "mtt"
"179" 2 300 176.774319832989 "mtt"
"180" 2 300 1305.45778109375 "mtt"
"181" 2 300 534.663127266095 "mtt"
"182" 2 300 220.800546901296 "mtt"
"183" 2 300 1346.45912969885 "mtt"
"184" 2 300 555.857348429988 "mtt"
"185" 2 300 717.541276085295 "mtt"
"186" 2 300 812.418200064888 "mtt"
"187" 2 300 1540.46092656443 "mtt"
"188" 2 300 337.829945759367 "mtt"
"189" 2 300 931.082682108057 "mtt"
"190" 2 300 673.109143635158 "mtt"
"191" 2 300 1285.86511251187 "mtt"
"192" 2 300 1167.91393515383 "mtt"
"193" 2 300 761.196370302607 "mtt"
"194" 2 300 1684.24555427484 "mtt"
"195" 2 300 1032.48645807786 "mtt"
"196" 2 300 585.723061178544 "mtt"
"197" 2 300 1969.59340626724 "mtt"
"198" 2 400 608.92871866233 "mtt"
"199" 2 400 264.462858767663 "mtt"
"200" 2 400 882.262417014613 "mtt"
"201" 2 400 779.82335608633 "mtt"
"202" 2 400 984.03629538711 "mtt"
